%# f in GHz     S1(1)1(1)              S1(1)2(1)              S1(1)3(1)              S1(1)4(1)              S2(1)1(1)              S2(1)2(1)              S2(1)3(1)              S2(1)4(1)              S3(1)1(1)              S3(1)2(1)              S3(1)3(1)              S3(1)4(1)              S4(1)1(1)              S4(1)2(1)              S4(1)3(1)              S4(1)4(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  52.4062385559082, port 2 (mode 1):  64.4482116699219, port 3 (mode 1):  65.5613021850586, port 4 (mode 1):  54.8182716369629 
0.054000       -0.355147  0.290154     0.520252  0.001726     0.456742  -0.155546     0.480067  -0.216525     0.519444  0.004981     -0.537294  0.077803     0.441069  -0.045773     0.474841  -0.089677     0.456887  -0.157296     0.440919  -0.045445     -0.533300  0.101240     0.515974  0.056056     0.480097  -0.217725     0.474646  -0.088852     0.516368  0.054573     -0.416327  0.195573
0.055000       -0.352130  0.294784     0.520772  0.001620     0.455417  -0.158141     0.477942  -0.220038     0.520045  0.004892     -0.536971  0.079201     0.440813  -0.046565     0.474302  -0.091233     0.455514  -0.159897     0.440671  -0.046234     -0.532607  0.102969     0.516937  0.056848     0.477938  -0.221240     0.474126  -0.090403     0.517295  0.055357     -0.414617  0.198797
0.056000       -0.349070  0.299375     0.521300  0.001506     0.454072  -0.160721     0.475785  -0.223526     0.520654  0.004794     -0.536642  0.080596     0.440553  -0.047355     0.473754  -0.092784     0.454121  -0.162481     0.440418  -0.047021     -0.531904  0.104691     0.517914  0.057628     0.475747  -0.224728     0.473599  -0.091949     0.518235  0.056130     -0.412881  0.202000
0.057000       -0.345968  0.303928     0.521835  0.001386     0.452706  -0.163286     0.473597  -0.226987     0.521271  0.004687     -0.536307  0.081990     0.440289  -0.048141     0.473197  -0.094330     0.452708  -0.165049     0.440161  -0.047805     -0.531191  0.106405     0.518905  0.058395     0.473525  -0.228189     0.473063  -0.093491     0.519188  0.056890     -0.411120  0.205183
0.058000       -0.342822  0.308441     0.522377  0.001257     0.451320  -0.165835     0.471378  -0.230421     0.521896  0.004570     -0.535968  0.083380     0.440021  -0.048925     0.472633  -0.095870     0.451275  -0.167600     0.439901  -0.048586     -0.530467  0.108111     0.519909  0.059148     0.471272  -0.231622     0.472518  -0.095027     0.520155  0.057639     -0.409334  0.208344
0.059000       -0.339635  0.312915     0.522927  0.001121     0.449915  -0.168368     0.469128  -0.233828     0.522528  0.004444     -0.535623  0.084769     0.439750  -0.049705     0.472060  -0.097404     0.449822  -0.170135     0.439637  -0.049365     -0.529733  0.109809     0.520927  0.059889     0.468988  -0.235028     0.471966  -0.096557     0.521136  0.058375     -0.407524  0.211484
0.060000       -0.336407  0.317348     0.523484  0.000978     0.448490  -0.170886     0.466848  -0.237208     0.523168  0.004308     -0.535273  0.086155     0.439474  -0.050482     0.471479  -0.098932     0.448349  -0.172652     0.439369  -0.050140     -0.528988  0.111499     0.521958  0.060616     0.466675  -0.238405     0.471406  -0.098083     0.522129  0.059098     -0.405690  0.214602
0.061000       -0.333139  0.321740     0.524048  0.000826     0.447046  -0.173388     0.464539  -0.240561     0.523815  0.004162     -0.534917  0.087539     0.439195  -0.051257     0.470890  -0.100455     0.446858  -0.175152     0.439098  -0.050913     -0.528234  0.113182     0.523001  0.061329     0.464332  -0.241754     0.470837  -0.099603     0.523135  0.059809     -0.403833  0.217698
0.062000       -0.329831  0.326092     0.524619  0.000667     0.445583  -0.175874     0.462200  -0.243886     0.524469  0.004006     -0.534556  0.088920     0.438913  -0.052028     0.470293  -0.101971     0.445347  -0.177635     0.438823  -0.051682     -0.527469  0.114856     0.524058  0.062029     0.461959  -0.245074     0.470261  -0.101118     0.524153  0.060508     -0.401951  0.220772
0.063000       -0.326483  0.330401     0.525196  0.000500     0.444102  -0.178343     0.459833  -0.247182     0.525130  0.003840     -0.534190  0.090299     0.438626  -0.052796     0.469688  -0.103482     0.443817  -0.180100     0.438544  -0.052449     -0.526695  0.116522     0.525126  0.062715     0.459558  -0.248365     0.469677  -0.102627     0.525184  0.061193     -0.400048  0.223823
