%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
2.100000       -0.166069  0.965003     -0.192952  -0.031916     -0.192952  -0.031916     -0.166069  0.965004
2.115000       -0.152057  0.967975     -0.190381  -0.028710     -0.190381  -0.028710     -0.152057  0.967976
2.130000       -0.137999  0.970714     -0.187794  -0.025586     -0.187794  -0.025586     -0.137999  0.970715
2.145000       -0.123902  0.973215     -0.185191  -0.022541     -0.185191  -0.022541     -0.123900  0.973216
2.160000       -0.109771  0.975477     -0.182569  -0.019572     -0.182570  -0.019571     -0.109771  0.975477
2.175000       -0.095617  0.977497     -0.179929  -0.016676     -0.179930  -0.016675     -0.095615  0.977497
2.190000       -0.081445  0.979275     -0.177269  -0.013851     -0.177269  -0.013851     -0.081445  0.979275
2.205000       -0.067266  0.980811     -0.174586  -0.011098     -0.174586  -0.011097     -0.067266  0.980811
2.220000       -0.053088  0.982106     -0.171878  -0.008414     -0.171878  -0.008413     -0.053086  0.982107
2.235000       -0.038916  0.983165     -0.169145  -0.005801     -0.169144  -0.005800     -0.038916  0.983165
2.250000       -0.024760  0.983989     -0.166383  -0.003259     -0.166383  -0.003259     -0.024758  0.983989
2.265000       -0.010625  0.984583     -0.163592  -0.000791     -0.163592  -0.000791     -0.010625  0.984583
2.280000       0.003481  0.984952     -0.160771  0.001601     -0.160770  0.001602     0.003481  0.984953
2.295000       0.017554  0.985103     -0.157919  0.003916     -0.157919  0.003916     0.017554  0.985103
2.310000       0.031591  0.985041     -0.155038  0.006149     -0.155038  0.006149     0.031591  0.985041
2.325000       0.045588  0.984771     -0.152128  0.008298     -0.152128  0.008298     0.045588  0.984772
2.340000       0.059542  0.984301     -0.149192  0.010359     -0.149191  0.010359     0.059544  0.984301
2.355000       0.073456  0.983636     -0.146231  0.012330     -0.146230  0.012331     0.073456  0.983636
2.370000       0.087329  0.982780     -0.143249  0.014209     -0.143249  0.014209     0.087329  0.982780
2.385000       0.101158  0.981739     -0.140251  0.015992     -0.140250  0.015992     0.101160  0.981739
2.400000       0.114952  0.980516     -0.137240  0.017679     -0.137239  0.017679     0.114952  0.980516
2.415000       0.128708  0.979114     -0.134221  0.019268     -0.134220  0.019268     0.128708  0.979114
2.430000       0.142429  0.977534     -0.131200  0.020759     -0.131199  0.020759     0.142431  0.977535
2.445000       0.156120  0.975778     -0.128180  0.022154     -0.128180  0.022153     0.156120  0.975778
2.460000       0.169781  0.973844     -0.125169  0.023452     -0.125168  0.023452     0.169781  0.973844
2.475000       0.183415  0.971731     -0.122169  0.024657     -0.122169  0.024657     0.183417  0.971731
2.490000       0.197026  0.969437     -0.119186  0.025771     -0.119186  0.025771     0.197026  0.969437
2.505000       0.210610  0.966958     -0.116224  0.026797     -0.116224  0.026797     0.210610  0.966959
2.520000       0.224169  0.964292     -0.113286  0.027740     -0.113286  0.027740     0.224169  0.964293
2.535000       0.237701  0.961434     -0.110374  0.028604     -0.110374  0.028604     0.237703  0.961434
2.550000       0.251206  0.958380     -0.107491  0.029393     -0.107491  0.029393     0.251206  0.958380
2.565000       0.264679  0.955125     -0.104637  0.030112     -0.104637  0.030112     0.264680  0.955125
2.580000       0.278115  0.951666     -0.101812  0.030765     -0.101812  0.030765     0.278117  0.951666
2.595000       0.291511  0.948000     -0.099016  0.031358     -0.099017  0.031357     0.291511  0.948000
2.610000       0.304857  0.944125     -0.096248  0.031892     -0.096249  0.031892     0.304858  0.944124
2.625000       0.318150  0.940037     -0.093506  0.032373     -0.093507  0.032373     0.318150  0.940037
2.640000       0.331378  0.935737     -0.090787  0.032802     -0.090788  0.032803     0.331380  0.935736
2.655000       0.344537  0.931225     -0.088089  0.033182     -0.088090  0.033182     0.344539  0.931225
2.670000       0.357619  0.926503     -0.085409  0.033514     -0.085409  0.033514     0.357621  0.926502
2.685000       0.370615  0.921572     -0.082743  0.033797     -0.082743  0.033798     0.370617  0.921571
2.700000       0.383519  0.916437     -0.080089  0.034032     -0.080089  0.034033     0.383519  0.916437
2.715000       0.396322  0.911104     -0.077445  0.034218     -0.077445  0.034219     0.396323  0.911103
2.730000       0.409020  0.905576     -0.074807  0.034352     -0.074807  0.034353     0.409022  0.905575
2.745000       0.421608  0.899860     -0.072176  0.034432     -0.072176  0.034433     0.421607  0.899860
2.760000       0.434080  0.893964     -0.069549  0.034456     -0.069549  0.034456     0.434081  0.893963
2.775000       0.446436  0.887894     -0.066927  0.034419     -0.066927  0.034419     0.446437  0.887893
2.790000       0.458674  0.881657     -0.064311  0.034318     -0.064311  0.034319     0.458674  0.881657
2.805000       0.470791  0.875261     -0.061702  0.034151     -0.061701  0.034152     0.470791  0.875261
2.820000       0.482790  0.868711     -0.059102  0.033915     -0.059102  0.033915     0.482790  0.868711
2.835000       0.494672  0.862014     -0.056515  0.033605     -0.056515  0.033605     0.494672  0.862014
2.850000       0.506440  0.855174     -0.053944  0.033221     -0.053944  0.033221     0.506440  0.855174
2.865000       0.518095  0.848196     -0.051394  0.032760     -0.051394  0.032760     0.518095  0.848196
2.880000       0.529642  0.841083     -0.048870  0.032222     -0.048870  0.032223     0.529642  0.841083
2.895000       0.541085  0.833835     -0.046376  0.031608     -0.046376  0.031608     0.541085  0.833835
2.910000       0.552428  0.826454     -0.043918  0.030917     -0.043917  0.030916     0.552428  0.826454
2.925000       0.563672  0.818941     -0.041500  0.030151     -0.041500  0.030151     0.563672  0.818941
2.940000       0.574822  0.811292     -0.039127  0.029313     -0.039127  0.029313     0.574822  0.811292
2.955000       0.585879  0.803506     -0.036804  0.028407     -0.036804  0.028407     0.585879  0.803506
2.970000       0.596847  0.795578     -0.034534  0.027437     -0.034534  0.027436     0.596847  0.795579
2.985000       0.607722  0.787507     -0.032321  0.026406     -0.032320  0.026406     0.607723  0.787508
3.000000       0.618505  0.779289     -0.030165  0.025320     -0.030165  0.025320     0.618506  0.779289
3.015000       0.629195  0.770917     -0.028069  0.024185     -0.028069  0.024185     0.629196  0.770918
3.030000       0.639787  0.762390     -0.026033  0.023004     -0.026033  0.023004     0.639788  0.762391
3.045000       0.650278  0.753703     -0.024056  0.021785     -0.024056  0.021785     0.650279  0.753704
3.060000       0.660662  0.744854     -0.022137  0.020530     -0.022137  0.020530     0.660662  0.744855
3.075000       0.670932  0.735841     -0.020274  0.019244     -0.020274  0.019245     0.670933  0.735840
3.090000       0.681083  0.726661     -0.018465  0.017932     -0.018465  0.017932     0.681083  0.726662
3.105000       0.691106  0.717318     -0.016705  0.016596     -0.016705  0.016596     0.691107  0.717317
3.120000       0.700995  0.707808     -0.014991  0.015237     -0.014991  0.015238     0.700995  0.707808
3.135000       0.710740  0.698138     -0.013320  0.013858     -0.013319  0.013858     0.710740  0.698138
